periodo,ganancias,ganancias dgi,ganancias dga,iva,iva dgi,devoluciones (-),iva dga,reintegros (-),internos coparticipados,otros coparticipados,derechos de exportacion,bienes personales,creditos y debitos en cta. cte,otros impuestos (3),aportes personales,contribuciones patronales,otros ingresos seguridad social (4),subtotal dgi,subtotal dga (5),total dgi-dga,sistema seguridad social,total recursos tributarios,clasificacion presupuestaria,administracion nacional
2017-04,29603.98819042,27054.67933426,2549.30885616,60099.74682398,44238.52175723,1000.0,16861.22506675,1500.0,5551.03902993,346.649218325,9053.90845496,1233.17423746,12676.87266467,-837.710369005001,21138.95391212,33150.62163862,2327.30648435,97807.32469201,34604.84343618,132412.16812819,55536.82388071,187948.9920089,187948.9920089,73441.5062204262
2017-05,52277.47785175,49290.16283426,2987.31501749,59734.8839377,41823.12257615,1400.0,19311.76136155,2500.0,4941.04874854,688.283930615,6789.63392641,563.7215051,13338.07677867,765.544297985,21500.13996776,31582.28980746,2870.82173976,114978.48268626,36442.19996226,151420.68264852,54634.70940202,206055.39205054,206055.39205054,83044.8987739338
2017-06,62119.57308561,59146.71294025,2972.86014536,62109.04170116,43172.39841233,1100.0,20036.64328883,2300.0,5400.49503421,560.801031395,5468.70173215,4742.64527819,14385.35943835,4219.250540455,21391.99870758,31096.80885152,2534.82315284,135600.91100415,36803.62255871,172404.53356286,54188.12046861,226592.65403147,226592.65403147,93870.096532841
2017-07,50704.60348174,47653.63309753,3050.97038421,64239.9825209,45221.07537576,1330.0,20348.90714514,2300.0,5621.55905473,596.63473637,7892.51368,3326.29532204,15161.00431866,3260.48317258,29747.99035952,42822.00801722,2610.32382761,124148.85684284,39746.93970422,163895.79654706,73430.05027049,237325.84681755,237325.84681755,90973.1415799195
2017-08,47401.35563826,43898.05579126,3503.299847,69934.06801355,47871.69819819,1900.0,23962.36981536,2500.0,5947.36980199,368.98428307,6584.43675924,2011.33964129,14738.90991252,3032.59521955,22564.08953303,32971.10904593,2480.43328267,120777.55768564,42963.33017809,163740.88786373,57534.48661623,221275.37447996,221275.37447996,90905.9504387945
2017-09,51850.59585893,48624.17696417,3226.41889476,68471.04933945,47777.91574277,1950.0,22643.13359668,2500.0,6203.14969302,640.340343575,4980.43845056,2474.7762443,16331.16527502,2499.01030757501,23003.70309786,33219.76466462,2776.0709774,127297.51670422,38974.91727188,166272.4339761,57793.12104768,224065.55502378,224065.55502378,91249.646026273
2017-10,48788.4674105,45288.25907426,3500.20833624,69461.99818609,47277.61315242,1900.0,24084.38503367,2500.0,6588.86029703,698.391101085,3844.05486865,2649.78682142,14214.97971208,346.997840594997,23735.23692449,34527.76286995,2594.2710535,119030.71557997,40841.05438446,159871.76996443,59841.55580994,219713.32577437,219713.32577437,85626.1944721672
2017-11,47423.90178882,44048.52683695,3375.37495187,74273.73620715,51820.86220524,2090.0,24542.87400191,3500.0,6138.33832311,773.78991424,4478.94429634,920.12770639,16210.76368571,1636.38166385,24595.85814039,35021.64821417,2732.53352768,122289.4337908,41325.00404777,163614.43783857,60849.31872192,224463.75656049,224463.75656049,89149.320811178
2017-12,53060.63578762,50098.95026123,2961.68552639,71938.27080127,51971.80550562,2000.0,21966.46529565,1100.0,6300.31597717,809.25568319,3716.15819218,2088.00887344,17641.56062011,1292.95375531,24523.37157605,35018.02216217,2705.11390838,137789.5696599,36273.96683314,174063.53649304,61174.92343699,235238.45993003,235238.45993003,93324.7921816933
2018-01,48922.56585105,45057.45982184,3865.10602921,84972.32598179,60537.77569721,1750.0,26184.55028458,2000.0,6537.86900013,788.769909495,3644.60375304,610.5594799,16155.65465902,3152.216859435,34238.88505376,48637.19922637,3025.11386354,133069.21388491,43977.15659446,177046.37047937,84914.67062811,261961.04110748,261961.04110748,93581.0186610376
